ID_Profesor;FacultyQualificationSA_PA_SP_IP;UnidadAcademica;Sexo;Nacionalidad
358;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
359;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
360;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
361;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
362;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
363;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
364;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;DESCONOCIDA
365;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
366;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;CHILENA
367;SIN CALIFICACION;PROFESOR PARTIME;MASCULINO;VENEZOLANA
368;SIN CALIFICACION;PROFESOR PARTIME;;
369;SIN CALIFICACION;PROFESOR PARTIME;;
370;SIN CALIFICACION;PROFESOR PARTIME;;
371;SIN CALIFICACION;PROFESOR PARTIME;;
372;SIN CALIFICACION;PROFESOR PARTIME;;
373;SIN CALIFICACION;PROFESOR PARTIME;;
374;IP;PROFESOR INTERNO;;
375;SA;PROFESOR INTERNO;;
376;IP;PROFESOR INTERNO;;
377;IP;PROFESOR INTERNO;;
378;IP;PROFESOR INTERNO;;
379;IP;PROFESOR INTERNO;;
380;SIN CALIFICACION;PROFESOR PARTIME;;
381;IP;PROFESOR INTERNO;;
382;IP;PROFESOR INTERNO;;
383;O;PROFESOR INTERNO;;
