SI FULL,sobre_60,sobre_90,seleable
38555,"0,2235","0,1214","0,9216"
39813,"0,2259","0,1214","0,9174"
32560,"0,23","0,1212","0,9107"
50355,"0,2319","0,1224","0,9134"
45545,"0,235","0,1254","0,9156"
26459,"0,2389","0,1287","0,9323"
22189,"0,2329","0,1303","0,9396"
13491,"0,2301","0,1315","0,9418"
18739,"0,235","0,1343","0,9297"
22875,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!
36156,"0,243","0,1351","0,9313"
36816,"0,2456","0,1398","0,9335"
35982,"0,2461","0,1443","0,9361"
25169,"0,2421","0,1457","0,9336"
13433,"0,2391","0,147","0,906"
13877,"0,241","0,1491","0,8965"
25145,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!
35444,"0,2432","0,1464","0,8721"
35524,"0,2442","0,143","0,8656"
36669,"0,2451","0,1421","0,8829"
37677,"0,2455","0,1434","0,8894"
32004,"0,245","0,145","0,9009"
22118,"0,2461","0,1462","0,9007"
27287,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!
38643,"0,2452","0,1455","0,9001"
37149,"0,2474","0,1446","0,9265"
38401,"0,2519","0,1448","0,9375"
35717,"0,2456","0,1385","0,9327"
32896,"0,2449","0,138","0,9435"
22189,"0,2459","0,1365","0,9404"
28998,"0,2469","0,135","0,9337"
39421,"0,2525","0,135","0,9377"
39489,"0,2565","0,1363","0,9405"
40375,"0,2604","0,1361","0,9439"
40041,"0,2607","0,1367","0,9482"
31246,"0,2555","0,1342","0,9459"
24183,"0,2619","0,1336","0,9419"
28237,"0,2655","0,1329","0,9377"
41961,"0,271","0,1348","0,941"
38620,"0,2768","0,1367","0,939"
39806,"0,2751","0,1355","0,9384"
37769,"0,2697","0,1346","0,9344"
35190,"0,2666","0,1347","0,9342"
27018,"0,2682","0,1349","0,9308"
32625,"0,2707","0,1364","0,9245"
43681,"0,269","0,136","0,9276"
39160,"0,2684","0,1365","0,9285"
41205,"0,2704","0,1389","0,9289"
38028,"0,2683","0,1406","0,9311"
34190,"0,2645","0,1402","0,9317"
23797,"0,2659","0,1403","0,9313"
29954,"0,2705","0,1393","0,9284"
44111,"0,2696","0,1381","0,9276"
42178,"0,2736","0,1411","0,9374"
43911,"0,2741","0,1421","0,9412"
42004,"0,2755","0,1449","0,9434"
34711,"0,274","0,1482","0,9451"
23194,"0,2739","0,1498","0,9447"
28705,"0,2734","0,1504","0,9407"
,"0,2699","0,1497","0,9463"
,"0,2682","0,1507","0,9435"
,"0,2672","0,1547","0,9461"
