ME2;Share_Free_Shipping_SI;Share_Drop_Shipping_SI;Share_XDM_SI;Share_Fulfillment_SI;Share_Flex_SI;Share_Logistic_SI;Share_Logistic_SI_melinet;Shipments_Delivered_Same_Day;Shipments_Delivered_Next_Day;Shipments_Delivered 2_Days;Shipments_Delivered_menor2days;Unique_Receivers;Unique_Shippers;D1;D2;D3;D4;D5;D6;D7;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;Casos_confirmados_mms;Positividad_mms;Casos_activos;Casos_recuperados;fin_mes;feriado
98086;0,537742389;0,81785372;0;0,053973044;0,128173236;0;0;0,031201925;0,335154432;0,152814485;0,519170841;47240;7579;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1752,9;0,059;18004;401105;0;0
139738;0,53533756;0,833874823;0;0,054459059;0,111666118;0;0;0,044451355;0,106558857;0,396520937;0,547531149;68101;8766;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1735,9;0,0588;18462;402432;0;0
115734;0,52764961;0,822783279;0;0,056733544;0,120483177;0;0;0,042546921;0,164082483;0,165419311;0,372048715;57545;8194;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1720,9;0,0579;18010;404559;0;0
95077;0,527677567;0,837205633;0;0,058258044;0,104536323;1,05E-05;0,000180538;0,039133066;0,157742683;0,247736174;0,444611924;47567;7608;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1745,7;0,0569;17743;406581;0;0
85085;0,507598284;0,842392901;0;0,067508962;0,090098137;0;0;0,079310008;0,247312353;0,25620602;0,582828382;42853;7344;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1746,4;0,0568;17161;408508;0;0
93416;0,487293397;0,811081613;0;0,072760555;0,116157832;0;0;0,220754315;0,24099723;0,202002983;0,663754528;47435;7699;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1735,1;0,0566;16447;410410;0;0
110990;0,517506082;0,803351653;0;0,067159204;0,129489143;0,000180196;0,002683123;0,199507334;0,153684961;0,223739355;0,576931651;55184;8198;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1774,1;0,0558;16206;412415;0;0
101987;0,514898958;0,801670801;0;0,063900301;0,134428898;0,000421622;0,006598128;0,04003263;0,47856633;0,141868053;0,660467013;51095;7821;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1748,9;0,0575;16343;413955;0;0
94287;0,512318771;0,801329982;0;0,063274895;0,135395123;0;0;0,038571056;0,137116037;0,508151239;0,683838331;46872;7532;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1780,4;0,0558;16540;415239;0;0
72627;0,508034202;0,827157944;0;0,068927534;0,103914522;0;0;0,043151633;0,166366907;0,233909795;0,443428334;36841;6864;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1753,7;0,0559;16049;417269;0;0
53168;0,487417244;0,848198164;0;0,072017003;0,079784833;0;0;0,224137931;0,232758621;0,054597701;0,511494253;27710;6056;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1712,7;0,0553;15504;419109;0;1
64255;0,482265972;0,850175084;0;0,067916894;0,081908023;0;0;0,272727273;0,076446281;0,105371901;0,454545455;33014;6611;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1643,9;0,0549;14962;420894;0;1
84703;0,488199946;0,82647604;0;0,064023706;0,109500254;0;0;0,202721088;0,083673469;0,192517007;0,478911565;43148;7429;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1573,7;0,055;14707;422569;0;0
